instance,method,objective,unproved_lower_bound,time,nb_nodes,robust_constraint,static_objective,static_constraint,S,path
data/processed/2000_USA-road-d.NY.gr,heuristics,66853.3,66853.3,1.12718,0,725,57465,622,727,[1792;1604;1271;1403;385;1204;1959;1990;1702;462;248;337;1694;518;1661;1060;628;317;1630;954;739;1741;1950;1973;1973]
data/processed/200_USA-road-d.BAY.gr,heuristics,14081.6,13637.6,0.185438,0,231,11576,209,273,[74;152;195;4;34;99;166;164;159;159]
data/processed/200_USA-road-d.COL.gr,heuristics,34466.7,31592,0.110471,0,193,26447,187,244,[161;192;113;134;199;66;118;188;27;176;182;196;196]
data/processed/200_USA-road-d.NY.gr,heuristics,30595.1,30595.1,0.008906,0,236,24628,234,237,[137;125;154;98;94;180;32;178;79;120;149;149]
data/processed/20_USA-road-d.BAY.gr,heuristics,15656.5,15656.5,0.002414,0,56,9659,39,66,[15;11;10;20;17;17]
data/processed/20_USA-road-d.COL.gr,heuristics,7076.52,7076.52,0.000201,0,54,5357,37,64,[12;10;14;17;15;15]
data/processed/20_USA-road-d.NY.gr,heuristics,9454.47,9454.47,0.000258,0,71,6848,44,88,[2;14;17;9;9]
data/processed/2100_USA-road-d.BAY.gr,heuristics,72250.2,72250.2,0.038805,0,702,62105,616,721,[1788;1735;1407;1640;1744;1093;1638;860;2026;1692;861;581;331;1700;414;405;520;1962;1424;2087;2018;1948;2040;2070;2038;2038]
data/processed/2100_USA-road-d.COL.gr,heuristics,43998.7,43998.7,1.30524,0,1323,35568,1268,1334,[88;1526;249;1814;205;151;104;1254;972;61;1788;2059;696;529;2048;2013;2013]
data/processed/2100_USA-road-d.NY.gr,heuristics,123989,123989,0.741122,0,624,101942,584,636,[1785;1617;1288;1554;1226;1240;579;324;360;396;392;1828;1463;866;1068;442;1740;1108;617;618;1267;478;1390;2042;2030;1818;1057;493;373;2026;1418;1434;1974;1974]
data/processed/2200_USA-road-d.BAY.gr,heuristics,80585.3,80585.3,0.762306,0,753,69753,687,754,[1580;2029;1969;939;1093;825;2043;1577;1692;861;1120;331;2166;414;1982;859;1845;1898;2171;1084;1366;2039;2127;2073;2128;2179;2179]
data/processed/2200_USA-road-d.COL.gr,heuristics,48962.9,48282.6,5.27812,0,1412,39310,1328,1422,[88;1935;1353;1934;205;151;104;1221;567;61;1930;657;669;2151;1997;2033;2153;2153]
data/processed/2200_USA-road-d.NY.gr,heuristics,123989,61857,1.71058,0,725,101942,607,758,[1785;1804;1826;1850;1904;1824;1437;324;360;396;108;1828;697;866;855;442;1740;1772;1082;298;1267;478;722;2042;1599;2021;1798;493;1869;1678;1927;1928;1974;1974]
data/processed/2300_USA-road-d.BAY.gr,heuristics,104070,77192.1,0.600079,0,736,90905,683,745,[1788;1956;1407;1535;1459;1792;1097;490;2026;2089;2027;581;331;963;1673;405;1964;1337;1343;1412;1968;1410;1967;2087;2018;2178;1489;2015;2276;2300;2300]
data/processed/2300_USA-road-d.COL.gr,heuristics,50172.5,49019.1,2.28426,0,1474,40803,1400,1478,[88;931;701;2019;629;151;104;555;955;61;1669;946;1882;2256;1410;2216;2258;2272;2272]
